Produto	Descri?’o	Qtd	Custo unit	Previs’o de recebimento	recebido				
3578	Produto 3578	200	R$ 2.329,00	19/10/2025	Sim				
2779	Produto 2779	243	R$ 317,00	11/09/2025	Sim				
3920	Produto 3920	248	R$ 611,00	10/10/2025	Sim			1	0
3750	Produto 3750	390	R$ 2.684,00	27/09/2025	Sim			2	0
1132	Produto 1132	211	R$ 842,00	11/09/2025	N’o				
4386	Produto 4386	281	R$ 819,00	05/09/2025	N’o				
2144	Produto 2144	309	R$ 3.178,00	24/10/2025	N’o				
3371	Produto 3371	251	R$ 514,00	09/10/2025	Sim				
3777	Produto 3777	227	R$ 3.686,00	16/10/2025	Sim				
3695	Produto 3695	367	R$ 3.989,00	30/08/2025	Sim				
724	Produto 724	250	R$ 2.815,00	23/09/2025	Sim				
4411	Produto 4411	399	R$ 3.888,00	11/09/2025	Sim				
4536	Produto 4536	394	R$ 2.716,00	23/09/2025	Sim				
2231	Produto 2231	325	R$ 565,00	19/09/2025	Sim				
2114	Produto 2114	263	R$ 1.954,00	28/08/2025	N’o				
1248	Produto 1248	335	R$ 1.276,00	23/10/2025	N’o				
2749	Produto 2749	295	R$ 3.861,00	18/10/2025	Sim				
3811	Produto 3811	241	R$ 791,00	12/10/2025	Sim				
444	Produto 444	235	R$ 1.606,00	20/10/2025	N’o				
3466	Produto 3466	212	R$ 939,00	04/09/2025	N’o				
3130	Produto 3130	335	R$ 2.394,00	27/08/2025	Sim				
3080	Produto 3080	268	R$ 3.318,00	27/09/2025	Sim				
2727	Produto 2727	255	R$ 2.707,00	22/09/2025	N’o				
4162	Produto 4162	264	R$ 1.310,00	20/10/2025	N’o				
2648	Produto 2648	241	R$ 826,00	03/09/2025	N’o				
2974	Produto 2974	354	R$ 3.838,00	20/09/2025	Sim				
2130	Produto 2130	333	R$ 2.416,00	24/09/2025	Sim				
927	Produto 927	277	R$ 639,00	23/10/2025	Sim				
4198	Produto 4198	351	R$ 1.495,00	07/09/2025	N’o				
358	Produto 358	226	R$ 2.612,00	17/09/2025	Sim				
4146	Produto 4146	356	R$ 1.583,00	18/10/2025	Sim				
1523	Produto 1523	321	R$ 2.651,00	11/10/2025	N’o				
650	Produto 650	317	R$ 3.092,00	14/09/2025	Sim				
2606	Produto 2606	289	R$ 546,00	07/10/2025	Sim				
3090	Produto 3090	358	R$ 1.490,00	12/09/2025	Sim				
2984	Produto 2984	300	R$ 1.228,00	19/10/2025	N’o				
4324	Produto 4324	295	R$ 1.768,00	19/09/2025	Sim				
1297	Produto 1297	236	R$ 3.347,00	06/09/2025	Sim				
3283	Produto 3283	274	R$ 1.719,00	15/10/2025	N’o				
4614	Produto 4614	259	R$ 3.890,00	26/10/2025	Sim				
4561	Produto 4561	285	R$ 1.863,00	21/09/2025	N’o				
757	Produto 757	214	R$ 1.774,00	07/09/2025	N’o				
4963	Produto 4963	237	R$ 1.977,00	05/10/2025	Sim				
2770	Produto 2770	336	R$ 3.349,00	10/10/2025	N’o				
1166	Produto 1166	391	R$ 3.068,00	30/08/2025	N’o				
3737	Produto 3737	216	R$ 2.599,00	14/09/2025	Sim				
1885	Produto 1885	252	R$ 2.917,00	06/10/2025	Sim				
2971	Produto 2971	243	R$ 811,00	02/09/2025	N’o				
1409	Produto 1409	328	R$ 3.102,00	17/10/2025	N’o				
4181	Produto 4181	247	R$ 2.070,00	20/10/2025	N’o				
589	Produto 589	379	R$ 3.000,00	20/10/2025	Sim				
3549	Produto 3549	212	R$ 547,00	20/10/2025	N’o				
1168	Produto 1168	267	R$ 3.256,00	28/08/2025	Sim				
3476	Produto 3476	236	R$ 1.098,00	08/10/2025	Sim				
3554	Produto 3554	245	R$ 2.669,00	04/10/2025	Sim				
1120	Produto 1120	286	R$ 229,00	06/10/2025	N’o				
4001	Produto 4001	367	R$ 1.891,00	12/10/2025	Sim				
1459	Produto 1459	282	R$ 962,00	23/09/2025	Sim				
736	Produto 736	273	R$ 1.615,00	20/10/2025	Sim				
232	Produto 232	248	R$ 1.442,00	12/10/2025	Sim				
1472	Produto 1472	202	R$ 1.975,00	07/09/2025	Sim				
2948	Produto 2948	382	R$ 294,00	05/09/2025	Sim				
4073	Produto 4073	209	R$ 2.667,00	03/10/2025	Sim				
4792	Produto 4792	399	R$ 696,00	08/10/2025	Sim				
208	Produto 208	201	R$ 265,00	18/09/2025	Sim				
1664	Produto 1664	230	R$ 3.986,00	18/09/2025	Sim				
4981	Produto 4981	311	R$ 2.521,00	01/10/2025	N’o				
3400	Produto 3400	378	R$ 1.393,00	20/10/2025	N’o				
1120	Produto 1120	310	R$ 2.954,00	21/10/2025	N’o				
973	Produto 973	287	R$ 1.875,00	02/09/2025	N’o				
4170	Produto 4170	245	R$ 1.905,00	16/09/2025	N’o				
976	Produto 976	247	R$ 775,00	18/09/2025	N’o				
3689	Produto 3689	206	R$ 1.786,00	08/10/2025	Sim				
3446	Produto 3446	296	R$ 341,00	25/10/2025	Sim				
876	Produto 876	321	R$ 2.056,00	27/09/2025	N’o				
3624	Produto 3624	392	R$ 2.551,00	24/09/2025	N’o				
2109	Produto 2109	369	R$ 3.482,00	25/09/2025	N’o				
992	Produto 992	293	R$ 1.978,00	11/09/2025	N’o				
3078	Produto 3078	337	R$ 2.379,00	13/09/2025	Sim				
3490	Produto 3490	287	R$ 2.692,00	29/09/2025	N’o				
1127	Produto 1127	389	R$ 2.895,00	12/10/2025	N’o				
4953	Produto 4953	339	R$ 2.729,00	12/09/2025	Sim				
2037	Produto 2037	393	R$ 3.663,00	15/09/2025	N’o				
875	Produto 875	233	R$ 3.249,00	30/08/2025	N’o				
4330	Produto 4330	372	R$ 486,00	14/10/2025	N’o				
1189	Produto 1189	264	R$ 3.825,00	18/09/2025	Sim				
4102	Produto 4102	203	R$ 1.866,00	18/10/2025	Sim				
4025	Produto 4025	210	R$ 3.417,00	03/10/2025	Sim				
2030	Produto 2030	238	R$ 2.092,00	15/09/2025	N’o				
3296	Produto 3296	315	R$ 764,00	08/10/2025	N’o				
1762	Produto 1762	258	R$ 1.880,00	14/10/2025	Sim				
2840	Produto 2840	393	R$ 2.204,00	08/09/2025	N’o				
4211	Produto 4211	355	R$ 1.830,00	22/09/2025	N’o				
3896	Produto 3896	392	R$ 1.740,00	18/09/2025	Sim				
1561	Produto 1561	331	R$ 1.591,00	28/09/2025	N’o				
4389	Produto 4389	289	R$ 3.995,00	07/10/2025	Sim				
4772	Produto 4772	354	R$ 1.231,00	07/10/2025	N’o				
1493	Produto 1493	371	R$ 2.618,00	12/09/2025	Sim				
2447	Produto 2447	359	R$ 1.007,00	20/09/2025	N’o				
4607	Produto 4607	212	R$ 468,00	11/09/2025	Sim				
950	Produto 950	348	R$ 3.758,00	29/09/2025	N’o				
3364	Produto 3364	368	R$ 233,00	25/10/2025	N’o				
2068	Produto 2068	377	R$ 766,00	15/10/2025	Sim				
3357	Produto 3357	334	R$ 2.211,00	25/10/2025	Sim				
1261	Produto 1261	377	R$ 3.149,00	18/10/2025	N’o				
1613	Produto 1613	289	R$ 2.130,00	02/09/2025	Sim				
4569	Produto 4569	265	R$ 2.100,00	18/09/2025	Sim				
3704	Produto 3704	299	R$ 2.646,00	25/10/2025	N’o				
2300	Produto 2300	219	R$ 3.890,00	04/10/2025	N’o				
228	Produto 228	375	R$ 703,00	16/10/2025	Sim				
3171	Produto 3171	223	R$ 410,00	26/09/2025	Sim				
4863	Produto 4863	321	R$ 218,00	25/10/2025	Sim				
1127	Produto 1127	301	R$ 1.455,00	21/09/2025	N’o				
1411	Produto 1411	230	R$ 3.175,00	11/10/2025	N’o				
1852	Produto 1852	368	R$ 1.100,00	05/09/2025	N’o				
4225	Produto 4225	372	R$ 2.978,00	26/10/2025	N’o				
1030	Produto 1030	381	R$ 2.029,00	30/09/2025	Sim				
4899	Produto 4899	221	R$ 3.550,00	28/09/2025	N’o				
1303	Produto 1303	348	R$ 3.751,00	07/09/2025	N’o				
